Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,246886,,,,246886,,1410668,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,68,Bolivia (Plurinational State of),BOL,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,1400,,,,1400,,6152,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,76,Brazil,BRA,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,400,,,,400,,2108,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,144,Sri Lanka,LKA,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,1637,,,,1637,,1906,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,38,,,,38,,224,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,8,,,,8,,95,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,360,Indonesia,IDN,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,31887,,,,31887,,56019,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,384,Côte d'Ivoire,CIV,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,4541,,,,4541,,13284,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,462,Maldives,MDV,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,782,,,,782,,2287,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,608,Philippines,PHL,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,36297,,,,36297,,90924,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,20709,,,,20709,,21235,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,699,India,IND,,,,,,,,0801,"Nuts, edible; coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,91312,,,,91312,,622209,,,0
