Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,42790,,,,42790,,84106,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,360,Indonesia,IDN,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,22500,,,,22500,,41906,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,458,Malaysia,MYS,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,500,,,,500,,700,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,608,Philippines,PHL,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,4990,,,,4990,,11656,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,40,,,,40,,131,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,12000,,,,12000,,20600,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,764,Thailand,THA,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,1500,,,,1500,,7728,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,784,United Arab Emirates,ARE,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,1260,,,,1260,,1386,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080112,"Nuts, edible; coconuts, in the inner shell (endocarp)",8,Weight in kilograms,150,,,,150,,442,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,710,South Africa,ZAF,,,,,,,,080112,"Nuts, edible; coconuts, in the inner shell (endocarp)",8,Weight in kilograms,150,,,,150,,442,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,10042,,,,10042,,20815,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,144,Sri Lanka,LKA,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,5148,,,,5148,,8816,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,218,Ecuador,ECU,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,400,,,,400,,1173,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,360,Indonesia,IDN,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,500,,,,500,,550,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,381,Italy,ITA,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,200,,,,200,,783,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,384,Côte d'Ivoire,CIV,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,244,,,,244,,1254,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,699,India,IND,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,2550,,,,2550,,7140,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,080119,"Nuts, edible; coconuts, fresh or dried, other than desiccated or in the inner shell (endocarp)",8,Weight in kilograms,1000,,,,1000,,1100,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080122,"Nuts, edible; brazil nuts, fresh or dried, shelled",8,Weight in kilograms,2424,,,,2424,,23777,,,0
