Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,87659,,,,87659,,175355,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,144,Sri Lanka,LKA,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,1637,,,,1637,,1906,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,360,Indonesia,IDN,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,31387,,,,31387,,55469,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,608,Philippines,PHL,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,36297,,,,36297,,90924,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,3255,,,,3255,,9416,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,699,India,IND,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,15052,,,,15052,,17230,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,854,Burkina Faso,BFA,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,30,,,,30,,408,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,69253,,,,69253,,138099,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,144,Sri Lanka,LKA,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,1080,,,,1080,,1188,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,12,,,,12,,138,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,360,Indonesia,IDN,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,47926,,,,47926,,92432,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,3194,,,,3194,,7620,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,16995,,,,16995,,36108,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,854,Burkina Faso,BFA,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,45,,,,45,,612,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080111,"Nuts, edible; coconuts, desiccated",8,Weight in kilograms,85740,,,,85740,,133070,,,0
