Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,318,,,,318,,1200,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,250,,,,250,,962,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,68,,,,68,,238,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",1,No Quantity,0,,,,,,1844705,,,6
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,36,Australia,AUS,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,20797,,,,20797,,136291,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,40,,,,40,,460,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,175,,,,175,,1568,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,600,,,,600,,4738,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,14621,,,,14621,,14035,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,264768,,,,264768,,1687508,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",1,No Quantity,0,,,,,,103,,,6
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,62765,,,,62765,,21592,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,62765,,,,62765,,21592,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,749580,,,,749580,,455007,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,749580,,,,749580,,455007,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,153886,,,,153886,,683915,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,152,Chile,CHL,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,1200,,,,1200,,18689,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,498,Rep. of Moldova,MDA,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,12000,,,,12000,,123200,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,4830,,,,4830,,4910,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,804,Ukraine,UKR,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,127151,,,,127151,,481695,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,190,,,,190,,3154,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,860,Uzbekistan,UZB,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,8000,,,,8000,,52200,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,515,,,,515,,66,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080241,"Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell",8,Weight in kilograms,2737,,,,2737,,3656,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080241,"Nuts, edible; chestnuts (Castanea spp.), fresh or dried, in shell",8,Weight in kilograms,2737,,,,2737,,3656,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,416494,,,,416494,,262641,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,405143,,,,405143,,224103,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,9593,,,,9593,,37121,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,080251,"Nuts, edible; pistachios, fresh or dried, in shell",8,Weight in kilograms,1757,,,,1757,,1416,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080252,"Nuts, edible; pistachios, fresh or dried, shelled",8,Weight in kilograms,18760,,,,18760,,59225,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080252,"Nuts, edible; pistachios, fresh or dried, shelled",8,Weight in kilograms,18760,,,,18760,,59225,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,1621,,,,1621,,7262,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,36,Australia,AUS,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,1224,,,,1224,,5536,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,156,China,CHN,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,226,,,,226,,986,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,404,Kenya,KEN,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,56,,,,56,,246,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080262,"Nuts, edible; macadamia, fresh or dried, shelled",8,Weight in kilograms,113,,,,113,,493,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,68633,,,,68633,,358118,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,156,China,CHN,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,7,,,,7,,309,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,32,,,,32,,1865,,,0
