Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,37202,,,,37202,,103828,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,4,Afghanistan,AFG,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,400,,,,400,,1200,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,42,,,,42,,430,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,26270,,,,26270,,71702,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,760,Syria,SYR,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,2080,,,,2080,,6240,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,784,United Arab Emirates,ARE,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,2210,,,,2210,,6630,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,6200,,,,6200,,17625,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,081320,"Fruit, edible; prunes, dried",8,Weight in kilograms,42584,,,,42584,,110391,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,32,Argentina,ARG,,,,,,,,081320,"Fruit, edible; prunes, dried",8,Weight in kilograms,11000,,,,11000,,28828,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,152,Chile,CHL,,,,,,,,081320,"Fruit, edible; prunes, dried",8,Weight in kilograms,10900,,,,10900,,22313,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,081320,"Fruit, edible; prunes, dried",8,Weight in kilograms,81,,,,81,,734,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,760,Syria,SYR,,,,,,,,081320,"Fruit, edible; prunes, dried",8,Weight in kilograms,280,,,,280,,952,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,784,United Arab Emirates,ARE,,,,,,,,081320,"Fruit, edible; prunes, dried",8,Weight in kilograms,375,,,,375,,1275,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,081320,"Fruit, edible; prunes, dried",8,Weight in kilograms,19948,,,,19948,,56290,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,081330,"Fruit, edible; apples, dried",8,Weight in kilograms,8,,,,8,,150,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,081330,"Fruit, edible; apples, dried",8,Weight in kilograms,8,,,,8,,150,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,25198,,,,25198,,63644,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,4,Afghanistan,AFG,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,80,,,,80,,360,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,100,Bulgaria,BGR,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,100,,,,100,,1019,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,203,Czechia,CZE,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,8,,,,8,,199,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,820,,,,820,,2006,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,31,,,,31,,476,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,13970,,,,13970,,25110,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,760,Syria,SYR,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,4640,,,,4640,,12093,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,764,Thailand,THA,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,3300,,,,3300,,12930,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,081340,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",8,Weight in kilograms,2250,,,,2250,,9450,,,0
