Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,701,Potatoes,8,Weight in kilograms,2101769,,,,2101769,,1217243,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,203,Czechia,CZE,,,,,,,,701,Potatoes,8,Weight in kilograms,16500,,,,16500,,14658,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,701,Potatoes,8,Weight in kilograms,766740,,,,766740,,135409,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,701,Potatoes,8,Weight in kilograms,70000,,,,70000,,48490,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,701,Potatoes,8,Weight in kilograms,207720,,,,207720,,38634,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,528,Netherlands,NLD,,,,,,,,701,Potatoes,8,Weight in kilograms,859110,,,,859110,,870398,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,620,Portugal,PRT,,,,,,,,701,Potatoes,8,Weight in kilograms,6,,,,6,,38,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,701,Potatoes,8,Weight in kilograms,181693,,,,181693,,109616,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,702,Tomatoes,8,Weight in kilograms,139147,,,,139147,,324844,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,702,Tomatoes,8,Weight in kilograms,550,,,,550,,1815,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,300,Greece,GRC,,,,,,,,702,Tomatoes,8,Weight in kilograms,42805,,,,42805,,107511,,,0
