Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,2009870,,,,2009870,,1189044,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,203,Czechia,CZE,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,16500,,,,16500,,14658,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,766740,,,,766740,,135409,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,70000,,,,70000,,48490,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,207520,,,,207520,,38589,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,528,Netherlands,NLD,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,859110,,,,859110,,870398,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,90000,,,,90000,,81500,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,91899,,,,91899,,28199,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,200,,,,200,,45,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,620,Portugal,PRT,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,6,,,,6,,38,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,91693,,,,91693,,28116,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070200,"Vegetables; tomatoes, fresh or chilled",8,Weight in kilograms,139147,,,,139147,,324844,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,070200,"Vegetables; tomatoes, fresh or chilled",8,Weight in kilograms,550,,,,550,,1815,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,300,Greece,GRC,,,,,,,,070200,"Vegetables; tomatoes, fresh or chilled",8,Weight in kilograms,42805,,,,42805,,107511,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,070200,"Vegetables; tomatoes, fresh or chilled",8,Weight in kilograms,47521,,,,47521,,120851,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,724,Spain,ESP,,,,,,,,070200,"Vegetables; tomatoes, fresh or chilled",8,Weight in kilograms,60,,,,60,,348,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,070200,"Vegetables; tomatoes, fresh or chilled",8,Weight in kilograms,28211,,,,28211,,73019,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,070200,"Vegetables; tomatoes, fresh or chilled",8,Weight in kilograms,20000,,,,20000,,21300,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070310,"Vegetables, alliaceous; onions and shallots, fresh or chilled",8,Weight in kilograms,7292413,,,,7292413,,3099106,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,070310,"Vegetables, alliaceous; onions and shallots, fresh or chilled",8,Weight in kilograms,1967740,,,,1967740,,884651,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,300,Greece,GRC,,,,,,,,070310,"Vegetables, alliaceous; onions and shallots, fresh or chilled",8,Weight in kilograms,172750,,,,172750,,75056,,,0
