Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,1575435,,,,1575435,,1092300,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,40,Austria,AUT,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,63750,,,,63750,,51000,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,203,Czechia,CZE,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,20000,,,,20000,,16111,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,208,Denmark,DNK,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,25000,,,,25000,,14814,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,100,,,,100,,112,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,176425,,,,176425,,44106,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,141500,,,,141500,,95103,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,442,Luxembourg,LUX,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,22500,,,,22500,,14395,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,528,Netherlands,NLD,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,976160,,,,976160,,751271,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,724,Spain,ESP,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,25000,,,,25000,,20033,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,826,United Kingdom,GBR,,,,,,,,070110,"Vegetables; seed potatoes, fresh or chilled",8,Weight in kilograms,125000,,,,125000,,85351,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,202445,,,,202445,,61569,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,76,Brazil,BRA,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,90,,,,90,,30,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,112,Belarus,BLR,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,20000,,,,20000,,3495,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,340,Honduras,HND,,,,,,,,070190,"Vegetables; potatoes (other than seed), fresh or chilled",8,Weight in kilograms,100,,,,100,,25,,,0
