Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,801,"Coconuts, Brazil nuts and cashew nuts",8,Weight in kilograms,246886,,,,246886,,1410668,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,801,"Coconuts, Brazil nuts and cashew nuts",8,Weight in kilograms,186751,,,,186751,,744341,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,801,"Coconuts, Brazil nuts and cashew nuts",8,Weight in kilograms,330327,,,,330327,,1908212,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,802,"Nuts excluding coconuts, Brazils and cashew nuts",8,Weight in kilograms,1775815,,,,1775815,,3697325,,,6
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,802,"Nuts excluding coconuts, Brazils and cashew nuts",8,Weight in kilograms,4329649,,,,4329649,,5615809,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,802,"Nuts excluding coconuts, Brazils and cashew nuts",8,Weight in kilograms,1046061,,,,1046061,,6538330,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,803,"Bananas, including plantains",8,Weight in kilograms,12419470,,,,12419469,,8692656,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,803,"Bananas, including plantains",8,Weight in kilograms,22475577,,,,22475577,,15270548,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,803,"Bananas, including plantains",8,Weight in kilograms,21212984,,,,21212984,,15261698,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,804,"Dates, figs, pineapple, avocado, guava",8,Weight in kilograms,1962837,,,,1962837,,2089957,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,804,"Dates, figs, pineapple, avocado, guava",8,Weight in kilograms,2727325,,,,2727325,,2816570,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,804,"Dates, figs, pineapple, avocado, guava",8,Weight in kilograms,2629785,,,,2629785,,3122211,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,805,Citrus fruits,8,Weight in kilograms,18223087,,,,18223087,,11301596,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,805,Citrus fruits,8,Weight in kilograms,23805946,,,,23805946,,15038543,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,805,Citrus fruits,8,Weight in kilograms,31302293,,,,31302293,,18039045,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,806,Grapes,8,Weight in kilograms,5103293,,,,5103293,,2859107,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,806,Grapes,8,Weight in kilograms,4235213,,,,4235213,,2572616,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,806,Grapes,8,Weight in kilograms,3890715,,,,3890715,,3511516,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,807,"Melons, watermelons and papayas",8,Weight in kilograms,876675,,,,876675,,548900,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,807,"Melons, watermelons and papayas",8,Weight in kilograms,1965705,,,,1965705,,723604,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,807,"Melons, watermelons and papayas",8,Weight in kilograms,2189731,,,,2189731,,1611520,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,808,"Apples, pears and quinces",8,Weight in kilograms,3882385,,,,3882385,,2271958,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,808,"Apples, pears and quinces",8,Weight in kilograms,6678751,,,,6678751,,3104947,,,0
