Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80111,Coconuts,8,Weight in kilograms,87659,,,,87659,,175355,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80111,Coconuts,8,Weight in kilograms,69253,,,,69253,,138099,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80111,Coconuts,8,Weight in kilograms,85740,,,,85740,,133070,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80112,Coconuts,8,Weight in kilograms,1690,,,,1690,,3011,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80112,Coconuts,8,Weight in kilograms,1485,,,,1485,,1975,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80119,Coconuts,8,Weight in kilograms,6684,,,,6684,,12911,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80119,Coconuts,8,Weight in kilograms,8933,,,,8933,,9467,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80119,Coconuts,8,Weight in kilograms,36808,,,,36808,,68732,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80121,Brazil nuts,8,Weight in kilograms,2070,,,,2070,,6055,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80121,Brazil nuts,8,Weight in kilograms,12475,,,,12475,,25094,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80122,Brazil nuts,8,Weight in kilograms,1800,,,,1800,,8261,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80122,Brazil nuts,8,Weight in kilograms,22260,,,,22260,,38733,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80122,Brazil nuts,8,Weight in kilograms,3286,,,,3286,,33043,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80131,Cashew nuts,8,Weight in kilograms,3850,,,,3850,,1335,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80132,Cashew nuts,8,Weight in kilograms,144822,,,,144822,,1206749,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80132,Cashew nuts,8,Weight in kilograms,72140,,,,72140,,529935,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80132,Cashew nuts,8,Weight in kilograms,203007,,,,203007,,1671391,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80111,Coconuts,8,Weight in kilograms,42790,,,,42790,,84106,,,0
