Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80410,"Dates, fresh/dried",8,Weight in kilograms,815197,,,,815197,,945265,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80420,"Figs, fresh/dried",8,Weight in kilograms,244475,,,,244475,,280988,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80430,"Pineapples, fresh/dried",8,Weight in kilograms,870270,,,,870270,,769760,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80440,"Avocados, fresh/dried",8,Weight in kilograms,16951,,,,16951,,46991,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80450,"Guavas, mangoes & mangosteens, fresh/dried",8,Weight in kilograms,15943,,,,15943,,46952,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80510,"Oranges, fresh/dried",8,Weight in kilograms,9379130,,,,9379130,,5420110,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80521,"Mandarin, clementine & citrus hybrids, fresh or dried",8,Weight in kilograms,5578551,,,,5578551,,3368074,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80529,"Mandarin, clementine & citrus hybrids, fresh or dried",8,Weight in kilograms,20180,,,,20180,,19694,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80540,"Grapefruit, fresh/dried",8,Weight in kilograms,1153620,,,,1153620,,836407,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80550,"Lemons and limes, fresh or dried",8,Weight in kilograms,2080883,,,,2080883,,1650177,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80590,"Other citrus fruits, fresh or dried",8,Weight in kilograms,10721,,,,10721,,7131,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80610,Grapes,8,Weight in kilograms,4273196,,,,4273196,,1713893,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80620,Raisins,8,Weight in kilograms,830097,,,,830097,,1145213,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80711,"Watermelons, fresh",8,Weight in kilograms,865916,,,,865916,,536733,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80719,"Melons (excl. watermelons), fresh",8,Weight in kilograms,10715,,,,10715,,11988,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80720,"Papaws (papayas), fresh/dried",8,Weight in kilograms,44,,,,44,,178,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80410,"Dates, fresh/dried",8,Weight in kilograms,749449,,,,749449,,900666,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80420,"Figs, fresh/dried",8,Weight in kilograms,373328,,,,373328,,224741,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80430,"Pineapples, fresh/dried",8,Weight in kilograms,1530847,,,,1530847,,1490935,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80440,"Avocados, fresh/dried",8,Weight in kilograms,43359,,,,43359,,110643,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80450,"Guavas, mangoes & mangosteens, fresh/dried",8,Weight in kilograms,30338,,,,30338,,89584,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80510,"Oranges, fresh/dried",8,Weight in kilograms,12080916,,,,12080916,,7196268,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80521,"Mandarin, clementine & citrus hybrids, fresh or dried",8,Weight in kilograms,7293670,,,,7293670,,3996273,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80529,"Mandarin, clementine & citrus hybrids, fresh or dried",8,Weight in kilograms,660,,,,660,,958,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80540,"Grapefruit, fresh/dried",8,Weight in kilograms,1568122,,,,1568122,,1201202,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80550,"Lemons and limes, fresh or dried",8,Weight in kilograms,2791945,,,,2791945,,2578624,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80590,"Other citrus fruits, fresh or dried",8,Weight in kilograms,70631,,,,70631,,65216,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80610,Grapes,8,Weight in kilograms,3432455,,,,3432455,,1457232,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80620,Raisins,8,Weight in kilograms,802758,,,,802758,,1115383,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80711,"Watermelons, fresh",8,Weight in kilograms,1956591,,,,1956591,,713494,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80719,"Melons (excl. watermelons), fresh",8,Weight in kilograms,9056,,,,9056,,9836,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80720,"Papaws (papayas), fresh/dried",8,Weight in kilograms,58,,,,58,,272,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80410,"Dates, fresh/dried",8,Weight in kilograms,808775,,,,808775,,959348,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80420,"Figs, fresh/dried",8,Weight in kilograms,507998,,,,507998,,542705,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80430,"Pineapples, fresh/dried",8,Weight in kilograms,1189400,,,,1189400,,1258733,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80440,"Avocados, fresh/dried",8,Weight in kilograms,77434,,,,77434,,264910,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80450,"Guavas, mangoes & mangosteens, fresh/dried",8,Weight in kilograms,46175,,,,46175,,96513,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80510,"Oranges, fresh/dried",8,Weight in kilograms,13275359,,,,13275359,,7328610,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80521,"Mandarin, clementine & citrus hybrids, fresh or dried",8,Weight in kilograms,12760172,,,,12760172,,6677834,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80522,"Mandarin, clementine & citrus hybrids, fresh or dried",8,Weight in kilograms,10,,,,10,,31,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80529,"Mandarin, clementine & citrus hybrids, fresh or dried",8,Weight in kilograms,2949,,,,2949,,2589,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80540,"Grapefruit, fresh/dried",8,Weight in kilograms,2017613,,,,2017613,,1467737,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80550,"Lemons and limes, fresh or dried",8,Weight in kilograms,3241317,,,,3241317,,2547856,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80590,"Other citrus fruits, fresh or dried",8,Weight in kilograms,4872,,,,4872,,14385,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80610,Grapes,8,Weight in kilograms,2506367,,,,2506367,,1666295,,,0
H5,2019,2019,2019,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,80620,Raisins,8,Weight in kilograms,1384348,,,,1384348,,1845220,,,0
