Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,1777880,,,,1777880,,1153870,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,2022152,,,,2022152,,1566169,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,4232926,,,,4232926,,1765898,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,400,,,,400,,1320,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,2589041,,,,2589041,,1057857,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,3756936,,,,3756936,,2331573,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,5049076,,,,5049076,,1280105,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,4499090,,,,4499090,,822304,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,5588611,,,,5588611,,1500077,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,868107,,,,868107,,124188,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,1714874,,,,1714874,,528880,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,2715985,,,,2715985,,670129,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,181,,,,181,,1154,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,369269,,,,369269,,78403,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,2107342,,,,2107342,,569472,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,3295929,,,,3295929,,910574,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,4342071,,,,4342071,,971019,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,179896,,,,179896,,347130,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,592471,,,,592471,,1089453,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,1603656,,,,1603656,,1332098,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,135825,,,,135825,,42374,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,88808,,,,88808,,31640,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,262407,,,,262407,,42114,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,680169,,,,680169,,945482,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,1652401,,,,1652401,,1866466,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,2863294,,,,2863294,,3353899,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,36764,,,,36764,,50725,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,19293,,,,19293,,44677,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,55040,,,,55040,,107040,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,1319187,,,,1319187,,920353,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,1827448,,,,1827448,,1309714,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,1529080,,,,1529080,,1045006,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,77284,,,,77284,,161788,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,49757,,,,49757,,103924,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,49393,,,,49393,,168484,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,4502934,,,,4502934,,2749936,,,0
H5,2018,2018,2018,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,5404515,,,,5404515,,2598608,,,0
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,5955574,,,,5955574,,4556851,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",1,No Quantity,0,,,,,,981,,,6
H5,2019,2019,2019,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",8,Weight in kilograms,255,,,,255,,895,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,2101769,,,,2101769,,1217243,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,139147,,,,139147,,324844,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,7351138,,,,7351138,,3130081,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,568175,,,,568175,,102484,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,88,,,,88,,1039,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,646661,,,,646661,,261548,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,314698,,,,314698,,830397,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,222,,,,222,,2690,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,178273,,,,178273,,499072,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,63673,,,,63673,,117696,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,1555760,,,,1555760,,1492647,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,28476,,,,28476,,47089,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,4326997,,,,4326997,,3287663,,,0
H4,2013,2013,2013,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",8,Weight in kilograms,28061,,,,28061,,14642,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,7625250,,,,7625250,,3408960,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,139131,,,,139131,,336176,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,8637145,,,,8637145,,3767819,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,2859138,,,,2859138,,541945,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,94,,,,94,,1135,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,200016,,,,200016,,84980,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,333871,,,,333871,,849711,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,1183,,,,1183,,3158,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,233619,,,,233619,,750337,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,23711,,,,23711,,58037,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,1438168,,,,1438168,,1386706,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,16615,,,,16615,,22890,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,5075748,,,,5075748,,3871076,,,0
H4,2014,2014,2014,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",8,Weight in kilograms,60016,,,,60016,,34693,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,3387394,,,,3387394,,2202615,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,34873,,,,34873,,90767,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,6055333,,,,6055333,,2447915,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,5831301,,,,5831301,,1173212,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,429,,,,429,,3600,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,878873,,,,878873,,345719,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,132705,,,,132705,,347508,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,123795,,,,123795,,32724,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,148285,,,,148285,,414121,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,50467,,,,50467,,104521,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,1070312,,,,1070312,,848169,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,29717,,,,29717,,60567,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,3868179,,,,3868179,,2999531,,,0
H4,2015,2015,2015,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",8,Weight in kilograms,380,,,,380,,656,,,0
H4,2016,2016,2016,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,4077374,,,,4077374,,2460347,,,0
H4,2016,2016,2016,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,117072,,,,117072,,274983,,,0
