Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,8347730,,,4
H5,2018,2018,2018,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,11931425,,,0
H5,2019,2019,2019,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,17923494,,,0
H5,2017,2017,2017,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,39057102,,,4
H5,2018,2018,2018,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,55247067,,,0
H5,2019,2019,2019,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,63695597,,,0
H4,2013,2013,2013,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,11329133,,,0
H4,2014,2014,2014,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,15117624,,,0
H4,2015,2015,2015,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,11071624,,,0
H4,2016,2016,2016,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,,,,,9236374,,,0
H4,2013,2013,2013,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,,,,,35277558,,,0
H4,2014,2014,2014,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,,,,,40317843,,,0
H4,2015,2015,2015,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,,,,,27206040,,,0
H4,2016,2016,2016,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,,,,,29616144,,,0
H3,2007,2007,2007,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,10362829,,,0
H3,2008,2008,2008,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,12521878,,,0
H3,2009,2009,2009,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,7885110,,,0
H3,2010,2010,2010,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,13016648,,,0
H3,2011,2011,2011,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,19037687,,,0
H3,2012,2012,2012,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,14127580,,,0
H3,2007,2007,2007,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,25246245,,,0
H3,2008,2008,2008,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,31760237,,,0
H3,2009,2009,2009,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,32087836,,,0
H3,2010,2010,2010,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,41957657,,,0
H3,2011,2011,2011,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,46960207,,,0
H3,2012,2012,2012,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,38990955,,,0
H2,2003,2003,2003,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,3021922,,,0
H2,2004,2004,2004,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2643717,,,0
H2,2005,2005,2005,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2255603,,,0
H2,2006,2006,2006,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,5454774,,,0
H2,2003,2003,2003,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,3029852,,,0
H2,2004,2004,2004,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,7344161,,,0
H2,2005,2005,2005,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,9257430,,,0
H2,2006,2006,2006,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,Edible fruit and nuts; peel of citrus fruit or melons,1,No Quantity,,,,,,,14525390,,,0
H1,1997,1997,1997,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2273485,,,0
H1,1999,1999,1999,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,987349,,,0
H1,2000,2000,2000,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,1706046,,,0
H1,2001,2001,2001,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2181647,,,0
H1,2002,2002,2002,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,07,Edible vegetables and certain roots and tubers,1,No Quantity,,,,,,,2261972,,,0
H1,1997,1997,1997,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,1812963,,,0
H1,1999,1999,1999,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,5824765,,,0
H1,2000,2000,2000,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,2552479,,,0
H1,2001,2001,2001,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,3096292,,,0
H1,2002,2002,2002,2,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,08,"Edible fruit, nuts, peel of citrus fruit, melons",1,No Quantity,,,,,,,2033334,,,0
