Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70110,"Potatoes, fresh/chilled",8,Weight in kilograms,1575435,,,,1575435,,1092300,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70190,"Potatoes, fresh/chilled",8,Weight in kilograms,202445,,,,202445,,61569,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70200,"Tomatoes, fresh/chilled",8,Weight in kilograms,400,,,,400,,1320,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70310,"Onions & shallots, fresh/chilled",8,Weight in kilograms,4926661,,,,4926661,,1154195,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70320,"Garlic, fresh/chilled",8,Weight in kilograms,122415,,,,122415,,125910,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70410,"Cauliflowers & headed broccoli, fresh/chilled",8,Weight in kilograms,3310,,,,3310,,5354,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70420,"Brussels sprouts, fresh/chilled",8,Weight in kilograms,1850,,,,1850,,3468,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70490,"Cabbages, kohlrabi, &  kale",8,Weight in kilograms,862947,,,,862947,,115365,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70610,"Carrots & turnips, fresh/chilled",8,Weight in kilograms,2105682,,,,2105682,,563376,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70690,"Salad beetroot, salsify, celeriac, & radishes",8,Weight in kilograms,1660,,,,1660,,6096,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70700,"Cucumbers & gherkins, fresh/chilled",8,Weight in kilograms,179896,,,,179896,,347130,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70810,"Peas, shelled or unshelled, fresh or chilled",8,Weight in kilograms,107961,,,,107961,,28307,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70820,"Beans, shelled or unshelled, fresh or chilled",8,Weight in kilograms,3584,,,,3584,,6070,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70890,"Legumes except peas & beans, fresh or chilled",8,Weight in kilograms,24280,,,,24280,,7997,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70110,"Potatoes, fresh/chilled",8,Weight in kilograms,1937320,,,,1937320,,1540851,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70190,"Potatoes, fresh/chilled",8,Weight in kilograms,84832,,,,84832,,25317,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70200,"Tomatoes, fresh/chilled",8,Weight in kilograms,2589041,,,,2589041,,1057857,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70310,"Onions & shallots, fresh/chilled",8,Weight in kilograms,4400820,,,,4400820,,724078,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70320,"Garlic, fresh/chilled",8,Weight in kilograms,97312,,,,97312,,96216,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70390,"Leeks, fresh/chilled",8,Weight in kilograms,958,,,,958,,2009,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70410,"Cauliflowers & headed broccoli, fresh/chilled",8,Weight in kilograms,141568,,,,141568,,161587,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,70420,"Brussels sprouts, fresh/chilled",8,Weight in kilograms,985,,,,985,,2291,,,0
