Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070920,"Vegetables; asparagus, fresh or chilled",8,Weight in kilograms,1613,,,,1613,,4785,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070930,"Vegetables; aubergines, (e.g. plants), fresh or chilled",8,Weight in kilograms,38499,,,,38499,,60704,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070940,"Vegetables; celery (other than celeriac), fresh or chilled",8,Weight in kilograms,4738,,,,4738,,16346,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070951,"Vegetables; mushrooms of the genus Agaricus, fresh or chilled",8,Weight in kilograms,49602,,,,49602,,82794,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070959,"Vegetables; truffles and mushrooms (other than of the genus Agaricus), fresh or chilled",8,Weight in kilograms,15473,,,,15473,,27136,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070960,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",8,Weight in kilograms,331602,,,,331602,,574286,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070991,"Vegetables; globe artichokes, fresh or chilled",8,Weight in kilograms,45,,,,45,,202,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070993,"Vegetables; pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled",8,Weight in kilograms,237589,,,,237589,,174308,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070999,"Vegetables; edible, n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,1007,,,,1007,,4917,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,36764,,,,36764,,50725,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,1319187,,,,1319187,,920353,,,0
H5,2017,2017,2017,4,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,77284,,,,77284,,161788,,,0
